State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,
Alabama,3/20/2021,"13,994",3/13/2021,"15,664","1,895,231",0.83,
Alabama,3/27/2021,"18,710",3/20/2021,"15,945","1,895,231",0.84,
Alabama,4/3/2021,"5,392",3/27/2021,"16,498","1,895,231",0.87,
Alabama,4/10/2021,"10,909",4/3/2021,"19,237","1,870,713",1.03,
Alabama,4/17/2021,"8,983",4/10/2021,"19,524","1,870,713",1.04,
Alabama,4/24/2021,"9,816",4/17/2021,"18,606","1,870,713",0.99,
Alabama,5/1/2021,"10,325",4/24/2021,"18,099","1,870,713",0.97,
Alabama,5/8/2021,"10,841",5/1/2021,"17,946","1,870,713",0.96,
Alabama,5/15/2021,"9,377",5/8/2021,"17,390","1,870,713",0.93,
Alabama,5/22/2021,"8,698",5/15/2021,"15,649","1,870,713",0.84,
Alabama,5/29/2021,"7,247",5/22/2021,"13,567","1,870,713",0.73,
Alabama,6/5/2021,"7,260",5/29/2021,"13,202","1,870,713",0.71,
Alabama,6/12/2021,"5,554",6/5/2021,"12,921","1,870,713",0.69,
Alabama,6/19/2021,"6,101",6/12/2021,"12,204","1,870,713",0.65,
Alabama,6/26/2021,"5,816",6/19/2021,"13,057","1,870,713",0.7,
Alabama,7/3/2021,"7,295",6/26/2021,"15,753","1,870,713",0.84,
Alabama,7/10/2021,"5,435",7/3/2021,"12,618","1,853,778",0.68,
Alabama,7/17/2021,"4,254",7/10/2021,"11,907","1,853,778",0.64,
Alabama,7/24/2021,"3,977",7/17/2021,"9,708","1,853,778",0.52,
Alabama,7/31/2021,"5,203",7/24/2021,"17,510","1,853,778",0.94,
Alabama,8/7/2021,"6,196",7/31/2021,"16,733","1,853,778",0.9,
Alabama,8/14/2021,"5,469",8/7/2021,"15,071","1,853,778",0.81,
Alabama,8/21/2021,"5,407",8/14/2021,"10,282","1,853,778",0.55,
Alabama,8/28/2021,"5,431",8/21/2021,"11,729","1,853,778",0.63,
Alabama,9/4/2021,"5,095",8/28/2021,"9,203","1,853,778",0.5,
Alabama,9/11/2021,"3,716",9/4/2021,"10,566","1,853,778",0.57,
Alabama,9/18/2021,"4,234",9/11/2021,"7,077","1,853,778",0.38,
Alabama,9/25/2021,"4,000",9/18/2021,"6,789","1,853,778",0.37,
Alabama,10/2/2021,"3,967",9/25/2021,"6,342","1,853,778",0.34,
Alabama,10/9/2021,"3,666",10/2/2021,"5,740","1,839,087",0.31,
Alabama,10/16/2021,"3,495",10/9/2021,"5,827","1,839,087",0.32,
Alabama,10/23/2021,"3,327",10/16/2021,"5,610","1,839,087",0.31,
Alabama,10/30/2021,"3,749",10/23/2021,"5,505","1,839,087",0.3,
Alabama,11/6/2021,"3,451",10/30/2021,"7,104","1,839,087",0.39,
Alaska,1/4/2020,981,12/28/2019,"10,177","306,493",3.32,
Alaska,1/11/2020,"1,371",1/4/2020,"9,310","307,329",3.03,
Alaska,1/18/2020,"1,181",1/11/2020,"9,984","307,329",3.25,
Alaska,1/25/2020,"1,003",1/18/2020,"9,496","307,329",3.09,
Alaska,2/1/2020,"1,122",1/25/2020,"9,579","307,329",3.12,
Alaska,2/8/2020,980,2/1/2020,"9,161","307,329",2.98,
Alaska,2/15/2020,915,2/8/2020,"9,343","307,329",3.04,
Alaska,2/22/2020,773,2/15/2020,"8,864","307,329",2.88,
Alaska,2/29/2020,874,2/22/2020,"8,938","307,329",2.91,
Alaska,3/7/2020,815,2/29/2020,"8,266","307,329",2.69,
Alaska,3/14/2020,"1,120",3/7/2020,"8,522","307,329",2.77,
Alaska,3/21/2020,"7,847",3/14/2020,"8,512","307,329",2.77,
Alaska,3/28/2020,"13,774",3/21/2020,"11,173","307,329",3.64,
Alaska,4/4/2020,"14,590",3/28/2020,"19,845","307,329",6.46,
Alaska,4/11/2020,"12,007",4/4/2020,"35,365","308,137",11.48,
Alaska,4/18/2020,"12,201",4/11/2020,"48,096","308,137",15.61,
Alaska,4/25/2020,"10,313",4/18/2020,"52,022","308,137",16.88,
Alaska,5/2/2020,"8,718",4/25/2020,"49,893","308,137",16.19,
Alaska,5/9/2020,"7,807",5/2/2020,"50,791","308,137",16.48,
Alaska,5/16/2020,"7,741",5/9/2020,"50,049","308,137",16.24,
Alaska,5/23/2020,"8,152",5/16/2020,"48,000","308,137",15.58,
Alaska,5/30/2020,"7,452",5/23/2020,"47,344","308,137",15.36,
Alaska,6/6/2020,"7,081",5/30/2020,"47,123","308,137",15.29,
Alaska,6/13/2020,"6,797",6/6/2020,"45,792","308,137",14.86,
Alaska,6/20/2020,"6,757",6/13/2020,"44,380","308,137",14.4,
Alaska,6/27/2020,"6,467",6/20/2020,"43,208","308,137",14.02,
Alaska,7/4/2020,"6,124",6/27/2020,"42,110","308,137",13.67,
Alaska,7/11/2020,"9,572",7/4/2020,"43,225","308,691",14,
Alaska,7/18/2020,"6,606",7/11/2020,"41,685","308,691",13.5,
Alaska,7/25/2020,"6,069",7/18/2020,"40,596","308,691",13.15,
Alaska,8/1/2020,"5,195",7/25/2020,"39,002","308,691",12.63,
Alaska,8/8/2020,"4,619",8/1/2020,"34,442","308,691",11.16,
Alaska,8/15/2020,"4,731",8/8/2020,"32,899","308,691",10.66,
Alaska,8/22/2020,"4,344",8/15/2020,"31,673","308,691",10.26,
Alaska,8/29/2020,"4,057",8/22/2020,"29,524","308,691",9.56,
Alaska,9/5/2020,"3,817",8/29/2020,"27,536","308,691",8.92,
Alaska,9/12/2020,"3,593",9/5/2020,"25,762","308,691",8.35,
Alaska,9/19/2020,"3,631",9/12/2020,"24,089","308,691",7.8,
Alaska,9/26/2020,"3,600",9/19/2020,"22,532","308,691",7.3,
Alaska,10/3/2020,"3,719",9/26/2020,"21,131","308,691",6.85,
Alaska,10/10/2020,"5,708",10/3/2020,"20,264","308,959",6.56,
Alaska,10/17/2020,"4,608",10/10/2020,"19,754","308,959",6.39,
Alaska,10/24/2020,"4,388",10/17/2020,"18,974","308,959",6.14,
Alaska,10/31/2020,"4,451",10/24/2020,"18,867","308,959",6.11,
Alaska,11/7/2020,"4,545",10/31/2020,"19,083","308,959",6.18,
Alaska,11/14/2020,"4,605",11/7/2020,"19,332","308,959",6.26,
Alaska,11/21/2020,"4,531",11/14/2020,"19,831","308,959",6.42,
Alaska,11/28/2020,"3,834",11/21/2020,"19,466","308,959",6.3,
Alaska,12/5/2020,"4,525",11/28/2020,"20,295","308,959",6.57,
Alaska,12/12/2020,"4,507",12/5/2020,"20,269","308,959",6.56,
Alaska,12/19/2020,"4,016",12/12/2020,"20,235","308,959",6.55,
Alaska,12/26/2020,"3,923",12/19/2020,"19,791","308,959",6.41,
Alaska,1/2/2021,"2,947",12/26/2020,"20,064","308,959",6.49,
Alaska,1/9/2021,"3,900",1/2/2021,"19,702","297,690",6.62,
Alaska,1/16/2021,"4,902",1/9/2021,"19,101","297,690",6.42,
Alaska,1/23/2021,"3,975",1/16/2021,"18,970","297,690",6.37,
Alaska,1/30/2021,"4,190",1/23/2021,"18,936","297,690",6.36,
Alaska,2/6/2021,"3,997",1/30/2021,"19,042","297,690",6.4,
Alaska,2/13/2021,"3,468",2/6/2021,"17,402","297,690",5.85,
Alaska,2/20/2021,"3,994",2/13/2021,"16,978","297,690",5.7,
Alaska,2/27/2021,"3,781",2/20/2021,"17,466","297,690",5.87,
Alaska,3/6/2021,"3,340",2/27/2021,"16,622","297,690",5.58,
Alaska,3/13/2021,"3,233",3/6/2021,"15,751","297,690",5.29,
Alaska,3/20/2021,"2,773",3/13/2021,"14,897","297,690",5,
Alaska,3/27/2021,"3,330",3/20/2021,"14,918","297,690",5.01,
Alaska,4/3/2021,"3,707",3/27/2021,"14,007","297,690",4.71,
Alaska,4/10/2021,"4,553",4/3/2021,"14,508","287,216",5.05,
Alaska,4/17/2021,"3,904",4/10/2021,"14,115","287,216",4.91,
Alaska,4/24/2021,"3,398",4/17/2021,"13,443","287,216",4.68,
Alaska,5/1/2021,"2,829",4/24/2021,"12,949","287,216",4.51,
Alaska,5/8/2021,"3,093",5/1/2021,"12,441","287,216",4.33,
Alaska,5/15/2021,"2,755",5/8/2021,"12,403","287,216",4.32,
Alaska,5/22/2021,"3,103",5/15/2021,"11,930","287,216",4.15,
Alaska,5/29/2021,"2,959",5/22/2021,"11,151","287,216",3.88,
Alaska,6/5/2021,"2,166",5/29/2021,"11,183","287,216",3.89,
Alaska,6/12/2021,"1,744",6/5/2021,"10,583","287,216",3.68,
Alaska,6/19/2021,"1,656",6/12/2021,"9,693","287,216",3.37,
Alaska,6/26/2021,"1,591",6/19/2021,"9,074","287,216",3.16,
Alaska,7/3/2021,"1,348",6/26/2021,"8,163","287,216",2.84,
Alaska,7/10/2021,"1,852",7/3/2021,"7,719","281,907",2.74,
Alaska,7/17/2021,"1,631",7/10/2021,"7,348","281,907",2.61,
Alaska,7/24/2021,"1,520",7/17/2021,"6,982","281,907",2.48,
Alaska,7/31/2021,"1,558",7/24/2021,"6,687","281,907",2.37,
Alaska,8/7/2021,"1,322",7/31/2021,"6,405","281,907",2.27,
Alaska,8/14/2021,"1,362",8/7/2021,"6,145","281,907",2.18,
Alaska,8/21/2021,"1,787",8/14/2021,"5,920","281,907",2.1,
Alaska,8/28/2021,"1,117",8/21/2021,"5,673","281,907",2.01,
Alaska,9/4/2021,"1,115",8/28/2021,"5,337","281,907",1.89,
Alaska,9/11/2021,"1,140",9/4/2021,"5,032","281,907",1.78,
Alaska,9/18/2021,"1,237",9/11/2021,"8,764","281,907",3.11,
Alaska,9/25/2021,"1,237",9/18/2021,"7,645","281,907",2.71,
Alaska,10/2/2021,"1,168",9/25/2021,"6,948","281,907",2.46,
Alaska,10/9/2021,"1,423",10/2/2021,"6,597","277,321",2.38,
Alaska,10/16/2021,"1,311",10/9/2021,"6,504","277,321",2.35,
Alaska,10/23/2021,"1,338",10/16/2021,"6,624","277,321",2.39,
Alaska,10/30/2021,"1,379",10/23/2021,"6,581","277,321",2.37,
Alaska,11/6/2021,"1,438",10/30/2021,"7,050","277,321",2.54,
Arkansas,1/4/2020,"2,576",12/28/2019,"15,323","1,193,713",1.28,
Arkansas,1/11/2020,"2,493",1/4/2020,"15,536","1,195,622",1.3,
Arkansas,1/18/2020,"1,729",1/11/2020,"13,229","1,195,622",1.11,
Arkansas,1/25/2020,"1,683",1/18/2020,"12,331","1,195,622",1.03,
Arkansas,2/1/2020,"1,837",1/25/2020,"13,210","1,195,622",1.1,
Arkansas,2/8/2020,"1,724",2/1/2020,"12,964","1,195,622",1.08,
Arkansas,2/15/2020,"1,602",2/8/2020,"12,979","1,195,622",1.09,
Arkansas,2/22/2020,"1,055",2/15/2020,"12,546","1,195,622",1.05,
Arkansas,2/29/2020,"1,418",2/22/2020,"12,244","1,195,622",1.02,
Arkansas,3/7/2020,"1,843",2/29/2020,"11,618","1,195,622",0.97,
Arkansas,3/14/2020,"1,382",3/7/2020,"11,514","1,195,622",0.96,
Arkansas,3/21/2020,"9,275",3/14/2020,"10,988","1,195,622",0.92,
Arkansas,3/28/2020,"27,756",3/21/2020,"16,148","1,195,622",1.35,
Arkansas,4/4/2020,"62,086",3/28/2020,"36,499","1,195,622",3.05,
Arkansas,4/11/2020,"35,629",4/4/2020,"66,511","1,196,468",5.56,
Arkansas,4/18/2020,"25,404",4/11/2020,"91,278","1,196,468",7.63,
Arkansas,4/25/2020,"17,671",4/18/2020,"109,337","1,196,468",9.14,
Arkansas,5/2/2020,"13,448",4/25/2020,"119,332","1,196,468",9.97,
Arkansas,5/9/2020,"13,152",5/2/2020,"122,522","1,196,468",10.24,
Arkansas,5/16/2020,"11,427",5/9/2020,"122,408","1,196,468",10.23,
Arkansas,5/23/2020,"10,825",5/16/2020,"120,043","1,196,468",10.03,
Arkansas,5/30/2020,"8,481",5/23/2020,"115,365","1,196,468",9.64,
Arkansas,6/6/2020,"9,663",5/30/2020,"115,482","1,196,468",9.65,
Arkansas,6/13/2020,"9,381",6/6/2020,"113,623","1,196,468",9.5,
Arkansas,6/20/2020,"9,669",6/13/2020,"112,189","1,196,468",9.38,
Arkansas,6/27/2020,"10,395",6/20/2020,"108,691","1,196,468",9.08,
Arkansas,7/4/2020,"10,832",6/27/2020,"104,692","1,196,468",8.75,
Arkansas,7/11/2020,"14,155",7/4/2020,"99,083","1,197,760",8.27,
Arkansas,7/18/2020,"15,932",7/11/2020,"100,026","1,197,760",8.35,
Arkansas,7/25/2020,"15,257",7/18/2020,"94,113","1,197,760",7.86,
Arkansas,8/1/2020,"12,750",7/25/2020,"79,564","1,197,760",6.64,
Arkansas,8/8/2020,"5,908",8/1/2020,"62,402","1,197,760",5.21,
Arkansas,8/15/2020,"6,351",8/8/2020,"52,946","1,197,760",4.42,
Arkansas,8/22/2020,"5,660",8/15/2020,"48,069","1,197,760",4.01,
Arkansas,8/29/2020,"5,337",8/22/2020,"44,564","1,197,760",3.72,
Arkansas,9/5/2020,"5,624",8/29/2020,"42,795","1,197,760",3.57,
Arkansas,9/12/2020,"4,585",9/5/2020,"38,926","1,197,760",3.25,
Arkansas,9/19/2020,"5,778",9/12/2020,"40,856","1,197,760",3.41,
Arkansas,9/26/2020,"6,137",9/19/2020,"37,975","1,197,760",3.17,
Arkansas,10/3/2020,"5,484",9/26/2020,"36,883","1,197,760",3.08,
Arkansas,10/10/2020,"5,719",10/3/2020,"32,303","1,197,760",2.7,
Arkansas,10/17/2020,"4,318",10/10/2020,"30,873","1,199,243",2.57,
Arkansas,10/24/2020,"4,019",10/17/2020,"26,311","1,199,243",2.19,
Arkansas,10/31/2020,"4,014",10/24/2020,"27,441","1,199,243",2.29,
Arkansas,11/7/2020,"3,672",10/31/2020,"24,049","1,199,243",2.01,
Arkansas,11/14/2020,"3,484",11/7/2020,"21,884","1,199,243",1.82,
Arkansas,11/21/2020,"4,276",11/14/2020,"24,239","1,199,243",2.02,
Arkansas,11/28/2020,"3,663",11/21/2020,"21,220","1,199,243",1.77,
Arkansas,12/5/2020,"4,649",11/28/2020,"24,634","1,199,243",2.05,
Arkansas,12/12/2020,"4,049",12/5/2020,"21,953","1,199,243",1.83,
Arkansas,12/19/2020,"3,976",12/12/2020,"22,463","1,199,243",1.87,
Arkansas,12/26/2020,"3,663",12/19/2020,"19,868","1,199,243",1.66,
Arkansas,1/2/2021,"4,400",12/26/2020,"23,006","1,199,243",1.92,
Arkansas,1/9/2021,"6,371",1/2/2021,"24,752","1,176,717",2.1,
Arkansas,1/16/2021,"4,774",1/9/2021,"22,703","1,176,717",1.93,
Arkansas,1/23/2021,"3,901",1/16/2021,"22,562","1,176,717",1.92,
Arkansas,1/30/2021,"4,807",1/23/2021,"24,543","1,176,717",2.09,
Arkansas,2/6/2021,"4,331",1/30/2021,"24,244","1,176,717",2.06,
Arkansas,2/13/2021,"3,147",2/6/2021,"22,475","1,176,717",1.91,
Arkansas,2/20/2021,"1,889",2/13/2021,"18,978","1,176,717",1.61,
Arkansas,2/27/2021,"6,064",2/20/2021,"27,675","1,176,717",2.35,
Arkansas,3/6/2021,"3,806",2/27/2021,"24,848","1,176,717",2.11,
Arkansas,3/13/2021,"3,291",3/6/2021,"23,969","1,176,717",2.04,
Arkansas,3/20/2021,"2,325",3/13/2021,"22,531","1,176,717",1.91,
Arkansas,3/27/2021,"2,836",3/20/2021,"21,180","1,176,717",1.8,
Arkansas,4/3/2021,"2,117",3/27/2021,"21,676","1,176,717",1.84,
Arkansas,4/10/2021,"3,374",4/3/2021,"19,541","1,163,763",1.68,
Arkansas,4/17/2021,"3,213",4/10/2021,"18,312","1,163,763",1.57,
Arkansas,4/24/2021,"3,107",4/17/2021,"19,986","1,163,763",1.72,
Arkansas,5/1/2021,"2,654",4/24/2021,"20,053","1,163,763",1.72,
Arkansas,5/8/2021,"2,791",5/1/2021,"20,885","1,163,763",1.79,
Arkansas,5/15/2021,"2,371",5/8/2021,"19,553","1,163,763",1.68,
Arkansas,5/22/2021,"2,415",5/15/2021,"20,147","1,163,763",1.73,
Arkansas,5/29/2021,"2,503",5/22/2021,"20,555","1,163,763",1.77,
Arkansas,6/5/2021,"2,404",5/29/2021,"19,345","1,163,763",1.66,
Arkansas,6/12/2021,"2,290",6/5/2021,"19,862","1,163,763",1.71,
Arkansas,6/19/2021,"1,958",6/12/2021,"21,156","1,163,763",1.82,
Arkansas,6/26/2021,"1,510",6/19/2021,"20,567","1,163,763",1.77,
Arkansas,7/3/2021,"1,549",6/26/2021,"20,211","1,163,763",1.74,
Arkansas,7/10/2021,"2,131",7/3/2021,"18,405","1,155,336",1.59,
Arkansas,7/17/2021,"1,917",7/10/2021,"19,551","1,155,336",1.69,
Arkansas,7/24/2021,"1,658",7/17/2021,"19,657","1,155,336",1.7,
Arkansas,7/31/2021,"1,741",7/24/2021,"18,616","1,155,336",1.61,
Arkansas,8/7/2021,"2,103",7/31/2021,"19,148","1,155,336",1.66,
Arkansas,8/14/2021,"1,737",8/7/2021,"19,429","1,155,336",1.68,
Arkansas,8/21/2021,"1,610",8/14/2021,"17,083","1,155,336",1.48,
Arkansas,8/28/2021,"1,481",8/21/2021,"17,039","1,155,336",1.47,
Arkansas,9/4/2021,"1,682",8/28/2021,"16,152","1,155,336",1.4,
Arkansas,9/11/2021,"1,238",9/4/2021,"15,539","1,155,336",1.34,
Arkansas,9/18/2021,"1,555",9/11/2021,"14,586","1,155,336",1.26,
Arkansas,9/25/2021,"1,465",9/18/2021,"13,516","1,155,336",1.17,
Arkansas,10/2/2021,"1,333",9/25/2021,"12,493","1,155,336",1.08,
Arkansas,10/9/2021,"1,598",10/2/2021,"11,811","1,147,079",1.03,
Arkansas,10/16/2021,"1,493",10/9/2021,"11,754","1,147,079",1.02,
Arkansas,10/23/2021,"1,335",10/16/2021,"11,018","1,147,079",0.96,
Arkansas,10/30/2021,"1,279",10/23/2021,"10,917","1,147,079",0.95,
Arkansas,11/6/2021,"1,450",10/30/2021,"13,154","1,147,079",1.15,
Arizona,1/4/2020,"3,132",12/28/2019,"17,991","2,864,180",0.63,
Arizona,1/11/2020,"4,654",1/4/2020,"18,259","2,864,180",0.64,
Arizona,1/18/2020,"4,152",1/11/2020,"18,421","2,864,180",0.64,
Arizona,1/25/2020,"3,475",1/18/2020,"18,401","2,864,180",0.64,
Arizona,2/1/2020,"3,807",1/25/2020,"18,854","2,864,180",0.66,
Arizona,2/8/2020,"3,636",2/1/2020,"18,461","2,864,180",0.64,
Arizona,2/15/2020,"3,538",2/8/2020,"18,516","2,864,180",0.65,
Arizona,2/22/2020,"3,151",2/15/2020,"18,217","2,864,180",0.64,
Arizona,2/29/2020,"3,086",2/22/2020,"18,137","2,864,180",0.63,
Arizona,3/7/2020,"3,357",2/29/2020,"17,593","2,864,180",0.61,
Arizona,3/14/2020,"3,844",3/7/2020,"17,595","2,864,180",0.61,
Arizona,3/21/2020,"29,348",3/14/2020,"18,108","2,864,180",0.63,
Arizona,3/28/2020,"88,940",3/21/2020,"26,387","2,864,180",0.92,
Arizona,4/4/2020,"132,428",3/28/2020,"62,597","2,864,180",2.19,
Arizona,4/11/2020,"98,531",4/4/2020,"120,592","2,864,180",4.21,
Arizona,4/18/2020,"72,457",4/11/2020,"170,262","2,885,408",5.9,
Arizona,4/25/2020,"52,581",4/18/2020,"196,401","2,885,408",6.81,
Arizona,5/2/2020,"43,023",4/25/2020,"218,760","2,885,408",7.58,
Arizona,5/9/2020,"31,570",5/2/2020,"228,806","2,885,408",7.93,
Arizona,5/16/2020,"31,957",5/9/2020,"230,566","2,885,408",7.99,
Arizona,5/23/2020,"26,868",5/16/2020,"217,968","2,885,408",7.55,
Arizona,5/30/2020,"22,012",5/23/2020,"209,944","2,885,408",7.28,
Arizona,6/6/2020,"24,367",5/30/2020,"210,605","2,885,408",7.3,
Arizona,6/13/2020,"22,419",6/6/2020,"209,529","2,885,408",7.26,
Arizona,6/20/2020,"25,886",6/13/2020,"217,934","2,885,408",7.55,
Arizona,6/27/2020,"26,328",6/20/2020,"217,505","2,885,408",7.54,
Arizona,7/4/2020,"25,774",6/27/2020,"216,603","2,885,408",7.51,
Arizona,7/11/2020,"28,695",7/4/2020,"227,419","2,905,807",7.83,
Arizona,7/18/2020,"21,441",7/11/2020,"229,352","2,905,807",7.89,
Arizona,7/25/2020,"19,063",7/18/2020,"230,822","2,905,807",7.94,
Arizona,8/1/2020,"15,561",7/25/2020,"232,497","2,905,807",8,
Arizona,8/8/2020,"11,655",8/1/2020,"219,459","2,905,807",7.55,
Arizona,8/15/2020,"12,775",8/8/2020,"211,212","2,905,807",7.27,
Arizona,8/22/2020,"12,487",8/15/2020,"205,978","2,905,807",7.09,
Arizona,8/29/2020,"11,705",8/22/2020,"202,716","2,905,807",6.98,
Arizona,9/5/2020,"11,343",8/29/2020,"200,184","2,905,807",6.89,
Arizona,9/12/2020,"10,015",9/5/2020,"194,479","2,905,807",6.69,
Arizona,9/19/2020,"9,065",9/12/2020,"190,507","2,905,807",6.56,
Arizona,9/26/2020,"8,208",9/19/2020,"175,837","2,905,807",6.05,
Arizona,10/3/2020,"7,966",9/26/2020,"168,948","2,905,807",5.81,
Arizona,10/10/2020,"7,925",10/3/2020,"151,436","2,927,942",5.17,
Arizona,10/17/2020,"7,053",10/10/2020,"137,816","2,927,942",4.71,
Arizona,10/24/2020,"6,813",10/17/2020,"125,852","2,927,942",4.3,
Arizona,10/31/2020,"6,389",10/24/2020,"112,425","2,927,942",3.84,
Arizona,11/7/2020,"6,410",10/31/2020,"103,243","2,927,942",3.53,
Arizona,11/14/2020,"6,285",11/7/2020,"95,164","2,927,942",3.25,
Arizona,11/21/2020,"7,154",11/14/2020,"91,485","2,927,942",3.12,
Arizona,11/28/2020,"5,569",11/21/2020,"81,219","2,927,942",2.77,
Arizona,12/5/2020,"7,362",11/28/2020,"82,614","2,927,942",2.82,
Arizona,12/12/2020,"6,921",12/5/2020,"75,979","2,927,942",2.59,
Arizona,12/19/2020,"7,032",12/12/2020,"75,045","2,927,942",2.56,
Arizona,12/26/2020,"6,569",12/19/2020,"69,775","2,927,942",2.38,
Arizona,1/2/2021,"7,992",12/26/2020,"71,901","2,927,942",2.46,
Arizona,1/9/2021,"12,309",1/2/2021,"76,818","2,880,711",2.67,
Arizona,1/16/2021,"12,006",1/9/2021,"71,369","2,880,711",2.48,
Arizona,1/23/2021,"13,034",1/16/2021,"70,808","2,880,711",2.46,
Arizona,1/30/2021,"15,148",1/23/2021,"71,444","2,880,711",2.48,
Arizona,2/6/2021,"7,670",1/30/2021,"69,884","2,880,711",2.43,
Arizona,2/13/2021,"3,903",2/6/2021,"68,986","2,880,711",2.39,
